ID;VALEUR;DATE;
0;1277.35;2019-04-17 02:21:33.0;
0;1277.45;2019-04-17 02:21:36.0;
0;1277.4;2019-04-17 02:21:38.0;
0;1277.35;2019-04-17 02:21:41.0;
0;1277.4;2019-04-17 02:21:44.0;
0;1277.35;2019-04-17 02:21:47.0;
0;1277.25;2019-04-17 02:21:49.0;
0;1277.45;2019-04-17 02:21:53.0;
0;1277.25;2019-04-17 02:22:12.0;
0;1277.35;2019-04-17 02:22:22.0;
0;1277.45;2019-04-17 02:23:21.0;
0;1277.35;2019-04-17 02:23:43.0;
0;1277.25;2019-04-17 02:24:35.0;
0;1277.35;2019-04-17 02:24:48.0;
0;1277.45;2019-04-17 02:25:04.0;
0;1277.35;2019-04-17 02:25:34.0;
0;1277.45;2019-04-17 02:25:43.0;
0;1277.35;2019-04-17 02:25:45.0;
0;1277.45;2019-04-17 02:25:48.0;
0;1277.5;2019-04-17 02:25:50.0;
0;1277.45;2019-04-17 02:25:55.0;
0;1277.5;2019-04-17 02:25:58.0;
0;1277.45;2019-04-17 02:26:06.0;
0;1277.5;2019-04-17 02:26:09.0;
0;1277.45;2019-04-17 02:26:11.0;
0;1277.65;2019-04-17 02:26:14.0;
0;1277.55;2019-04-17 02:26:28.0;
0;1277.65;2019-04-17 02:27:19.0;
0;1277.55;2019-04-17 02:27:47.0;
0;1277.45;2019-04-17 02:28:51.0;
0;1277.55;2019-04-17 02:30:21.0;
0;1277.65;2019-04-17 02:30:46.0;
0;1277.55;2019-04-17 02:30:57.0;
0;1277.65;2019-04-17 02:32:35.0;
0;1277.75;2019-04-17 02:33:17.0;
0;1277.85;2019-04-17 02:33:26.0;
0;1277.75;2019-04-17 02:33:29.0;
0;1277.85;2019-04-17 02:33:32.0;
0;1277.95;2019-04-17 02:37:00.0;
0;1278.05;2019-04-17 02:38:11.0;
0;1278.15;2019-04-17 02:38:45.0;
0;1278.25;2019-04-17 02:39:55.0;
0;1278.15;2019-04-17 02:40:09.0;
0;1278.25;2019-04-17 02:41:31.0;
0;1278.15;2019-04-17 02:41:45.0;
0;1278.25;2019-04-17 02:41:47.0;
0;1278.15;2019-04-17 02:41:50.0;
0;1277.95;2019-04-17 02:42:10.0;
0;1278.05;2019-04-17 02:42:13.0;
0;1278.2;2019-04-17 02:42:29.0;
0;1278.25;2019-04-17 02:42:32.0;
0;1278.35;2019-04-17 02:42:49.0;
0;1278.45;2019-04-17 02:42:52.0;
0;1278.35;2019-04-17 02:42:57.0;
0;1278.45;2019-04-17 02:43:30.0;
0;1278.35;2019-04-17 02:43:35.0;
0;1278.45;2019-04-17 02:44:30.0;
0;1278.35;2019-04-17 02:44:32.0;
0;1278.45;2019-04-17 02:44:35.0;
0;1278.55;2019-04-17 02:44:37.0;
0;1278.65;2019-04-17 02:44:49.0;
0;1278.55;2019-04-17 02:45:09.0;
0;1278.65;2019-04-17 02:45:31.0;
0;1278.7;2019-04-17 02:47:25.0;
0;1278.65;2019-04-17 02:47:33.0;
0;1278.75;2019-04-17 02:48:07.0;
0;1278.65;2019-04-17 02:49:09.0;
0;1278.75;2019-04-17 02:49:15.0;
0;1278.65;2019-04-17 02:49:24.0;
0;1278.7;2019-04-17 02:49:26.0;
0;1278.65;2019-04-17 02:49:34.0;
0;1278.55;2019-04-17 02:49:45.0;
0;1278.45;2019-04-17 02:50:13.0;
0;1278.25;2019-04-17 02:50:29.0;
0;1278.35;2019-04-17 02:50:38.0;
0;1278.25;2019-04-17 02:50:41.0;
0;1278.35;2019-04-17 02:50:47.0;
0;1278.55;2019-04-17 02:50:50.0;
0;1278.75;2019-04-17 02:51:31.0;
0;1278.45;2019-04-17 02:51:34.0;
0;1278.65;2019-04-17 02:51:39.0;
0;1278.55;2019-04-17 02:51:42.0;
0;1278.45;2019-04-17 02:52:03.0;
0;1278.55;2019-04-17 02:52:05.0;
0;1278.45;2019-04-17 02:52:08.0;
0;1278.35;2019-04-17 02:52:10.0;
0;1278.25;2019-04-17 02:52:32.0;
0;1278.15;2019-04-17 02:52:53.0;
